DoctorID,Complaint Type - Correct,Complaint Type - Incorrect,Complaint Type - R&R,Complaint Type - Specific,Complaint Type - Unknown
AAAEAH,1,0,0,0,0
AAAHCE,1,2,0,0,1
AABDHC,0,1,0,0,0
AABGAB,3,0,0,0,1
AACCGA,0,1,0,0,0
AACCGI,0,0,0,0,1
AACEIE,0,0,0,0,1
AACJEJ,1,2,0,0,0
AADDIG,0,1,0,0,0
AAEIEG,15,1,1,0,3
AAFJBH,1,0,0,0,1
AAFJJB,4,1,0,0,0
AAGHII,1,0,0,0,0
AAHGBF,0,1,0,0,0
AAIGDH,5,0,0,0,0
AAJJHH,1,0,0,0,0
ABAIEG,1,0,0,0,0
ABBFAC,1,0,0,0,0
ABEAFF,1,0,0,0,0
ABFFCJ,1,1,0,0,0
ABGBGC,0,1,0,0,1
ABHGCJ,3,1,0,0,2
ABHIAF,1,0,0,0,1
ABHIFI,1,0,0,0,0
ABJEAI,5,0,0,0,1
ABJHED,2,0,0,0,1
ABJJGH,2,0,0,0,0
ACBBCA,1,0,0,0,0
ACBCHA,3,2,0,0,1
ACBGIB,0,0,0,0,1
ACBIDH,0,1,0,0,0
ACDBJE,1,0,0,0,0
ACDFJH,7,0,0,0,3
ACHGHE,1,1,0,0,1
ACIHGD,0,1,0,0,0
ACJDBA,1,2,0,0,0
ADBDII,0,1,0,0,0
ADBHIC,1,0,0,0,0
ADCJFA,2,0,0,0,0
ADDEBB,0,0,0,0,1
ADDEGG,2,1,0,0,0
ADDGJC,1,0,0,0,0
ADDJGE,0,1,0,0,0
ADEGFF,0,0,0,0,1
ADFECC,0,0,0,2,0
ADGAIC,1,0,0,0,0
ADGCJI,1,0,0,0,0
ADGFHG,1,0,0,0,0
ADHBJA,1,0,0,0,0
ADIDCF,1,0,0,0,0
ADJHAB,1,0,0,0,1
AECDDD,0,0,0,0,1
AECGFE,1,0,0,0,1
AECIDA,2,3,0,0,0
AEFEAG,8,2,0,0,0
AEGAJH,3,0,0,0,0
AEGCCG,0,0,0,1,0
AEGFAA,0,1,0,0,0
AEGJGG,2,0,0,0,0
AEHEHD,0,1,0,0,1
AFCADC,1,1,0,0,0
AFCFGJ,1,1,0,0,0
AFCGAH,0,1,0,0,0
AFDBGB,2,0,0,0,0
AFGGDB,2,1,0,0,1
AFJHFB,3,0,0,0,0
AGABCH,1,0,0,0,0
AGABDF,1,0,0,0,0
AGACJD,0,0,0,0,1
AGADGD,2,0,0,0,0
AGCHEE,2,0,0,0,0
AGEFBG,1,0,0,0,0
AGEIBA,0,1,0,0,1
AGFEFG,1,0,0,0,0
AGIGAF,2,0,0,0,0
AGIJAC,1,1,0,0,0
AHAHIB,0,0,0,0,1
AHBEII,1,0,0,0,0
AHDDAI,0,0,0,0,1
AHDHCH,0,1,0,0,0
AHEFIJ,0,0,0,0,1
AHFFDD,2,0,0,0,0
AHIEIG,1,0,0,0,0
AHJDEI,1,0,0,0,1
AHJEHG,1,0,0,0,0
AIABDJ,1,0,0,0,1
AIBAHD,1,0,0,0,0
AIBDIG,0,1,0,0,0
AICDGI,1,0,0,0,0
AIDEAJ,0,1,0,0,0
AIEACB,0,1,0,0,0
AIEBFD,3,4,0,1,4
AIEJCA,1,0,0,0,0
AIFAEE,7,2,0,0,4
AIFDEE,0,1,0,0,1
AIFDIA,0,0,0,1,0
AIFEBB,0,1,0,0,0
AIFHDB,1,0,0,0,2
AIGIAD,1,0,0,0,0
AIHCJI,6,1,0,0,1
AJDBGC,2,0,0,0,0
AJFADH,1,1,0,0,0
AJGICE,5,2,0,0,2
AJHCDH,0,1,0,0,0
AJHIEE,0,1,0,0,0
BAACDF,0,0,0,0,1
BAACGG,0,1,0,0,0
BABEFH,4,4,0,0,6
BABGJG,8,1,0,0,1
BABHAJ,1,0,0,0,0
BADDDJ,2,2,0,0,0
BAEEJA,1,1,0,0,0
BAFAAH,1,0,0,0,0
BAFEFF,1,3,0,0,0
BAFIJB,2,0,0,0,1
BAHHBG,3,0,0,0,0
BBABJA,3,1,0,0,1
BBABJD,1,0,0,0,0
BBAJCF,0,1,0,0,0
BBBDGH,1,0,0,0,0
BBBGBH,0,1,0,0,0
BBCHEH,1,0,0,2,0
BBHCBF,0,0,0,0,1
BCCFGC,1,0,0,0,0
BCDGAI,1,0,0,0,0
BCFGAB,2,0,0,0,2
BCFGEA,0,0,0,0,1
BCFJAB,1,0,0,0,2
BCGBHC,2,0,0,0,0
BCGFDD,1,0,0,0,0
BCGHBG,1,0,0,0,0
BCHBBG,1,0,0,0,0
BCJGJJ,1,0,0,0,0
BDDCCB,1,0,0,0,0
BDFCGI,2,0,0,0,0
BDGBIC,1,1,0,0,0
BDGCCB,0,1,0,0,0
BDGHAH,0,1,0,0,0
BEAIJI,0,1,0,0,0
BEBBHJ,1,0,0,0,0
BEEGED,0,0,0,0,2
BEFIIH,0,0,0,0,1
BFAHHA,1,0,0,0,0
BFIGHB,0,0,0,0,1
BGAAAH,7,0,0,0,1
BGJCFE,3,0,0,0,1
BHGIFC,2,1,0,0,0
BHHDDF,1,0,0,0,0
BJBAFG,1,0,0,0,0
BJBFDB,1,1,0,0,0
BJBFJC,1,0,0,0,0
BJBIIH,1,0,0,0,0
BJDEGI,2,3,0,0,3
BJDFFJ,0,1,0,0,0
BJEACG,1,0,0,0,0
BJIHHD,1,0,0,0,0
CAAHID,2,0,0,0,0
CAECFG,2,0,0,0,0
CJAFAB,0,1,0,0,0
EHAHI,10,0,0,0,0
EHDGF,2,0,0,0,3
EHDIC,0,3,0,0,0
EHDIH,1,0,0,0,0
EHDIJ,8,2,0,0,3
EHEGI,1,0,0,0,1
EHFDE,1,0,0,0,0
EHHGF,1,0,0,0,0
EHHJI,1,0,0,0,0
EIAAF,3,1,0,0,1
EIDDH,2,0,0,0,0
EIDHJ,0,1,0,0,0
EIFAD,1,2,0,0,4
EIFDB,1,0,0,0,0
EIFEJ,2,0,0,0,1
EIFHE,2,0,0,0,0
EIGAE,1,0,0,0,0
EIIBH,2,0,0,0,0
EIJHF,2,0,0,0,1
FABEA,1,0,0,0,1
FADIG,0,1,0,0,0
FAEAH,3,0,0,0,1
FAEFA,2,0,0,0,1
FAEJE,3,4,0,0,8
FAGBJ,1,4,0,0,1
FAGEB,0,1,0,0,0
FAGED,13,1,0,0,1
FAGIE,2,2,0,0,0
FAHDI,1,1,0,0,0
FAICB,4,2,0,0,0
FAJFE,7,3,0,0,2
FAJGC,0,1,0,0,1
FAJID,4,0,0,0,0
FBDCE,1,0,0,0,1
FBEDJ,1,1,0,0,1
FBEEH,0,1,0,0,0
FBFHB,1,1,0,0,0
FBHAC,1,0,0,0,0
FBHHI,8,3,0,0,1
FBHJG,2,2,0,0,0
FBIII,2,0,0,0,0
FBJDE,1,0,0,0,0
FBJGF,0,1,0,0,2
FBJIB,3,2,0,0,1
FCBBH,1,0,0,0,0
FCBDC,0,0,0,0,1
FCBGI,3,1,0,0,1
FCBIG,1,0,0,0,1
FCDBG,0,0,0,0,1
FCDCH,1,0,0,0,0
FCEBG,1,1,0,0,1
FCECC,2,0,0,0,1
FCEDH,4,1,0,0,0
FCHHA,0,0,0,0,1
FCIGD,1,0,0,0,0
FCIGF,1,1,0,0,0
FCIJH,6,0,0,0,2
FCJBJ,1,1,0,0,0
FCJGE,2,1,0,0,1
FCJJB,0,0,0,0,1
FDAEE,3,1,0,0,3
FDAFD,0,1,0,0,0
FDBCJ,0,0,0,0,1
FDDIH,4,4,0,0,0
FDFAC,1,1,0,0,0
FDFGH,1,0,0,0,0
FDGAF,1,0,0,0,0
FDGFG,2,0,0,0,0
FDGGA,3,0,0,0,0
FDHAJ,3,0,0,0,0
FDHDI,0,1,0,0,0
FDHGC,4,4,0,0,1
FFCIE,5,1,0,0,1
FJAJH,1,0,0,0,1
FJBGJ,0,1,0,0,0
FJCDB,0,1,0,0,0
FJFDC,2,0,0,0,0
FJFEG,0,0,0,0,1
FJGEH,1,1,0,0,1
FJGEJ,1,0,0,0,0
FJIDJ,0,0,0,0,1
FJJGG,1,0,0,0,0
GDADF,3,3,0,0,0
GDAFH,0,0,0,0,1
GDAJE,0,1,0,0,0
GDEAD,3,0,0,0,0
GDFHE,0,0,0,0,1
GDGHI,3,4,0,0,0
GDGIF,1,1,0,0,0
GDHIJ,9,4,0,0,1
GGBFC,3,0,0,0,0
GGCCD,0,1,0,0,0
GGGAA,0,1,0,1,0
GHAEF,3,0,0,0,0
GHDFB,0,0,0,0,1
GIHBE,0,0,0,0,1
HABDJ,0,1,0,0,1
HAGDC,1,0,0,0,0
HAIAH,1,1,0,0,0
HBAHA,4,0,0,0,0
HBCEA,1,2,0,0,0
HBDID,1,0,0,0,1
HBEHJ,1,1,0,0,0
HBFAF,2,0,0,0,0
HBIEA,2,0,0,0,1
HBIFB,2,0,0,0,0
HCAJH,1,0,0,0,0
HCBFF,4,3,0,0,0
HCEAA,0,1,0,0,0
HCIGF,2,1,0,0,1
HCJHF,3,0,0,0,0
HEAIA,3,0,0,0,0
HEFBI,2,1,0,0,1
HHBHI,4,1,0,0,1
HIEFA,1,0,0,0,0
HJBCD,0,1,0,0,0
HJDFA,1,0,0,0,0
IAEBD,3,1,0,0,0
IDAGA,2,0,0,0,0
IDGCI,0,0,0,0,1
IEHGF,2,0,0,0,0
IEJIA,3,1,0,0,1
IFBHI,0,1,0,0,1
IFDIB,1,0,0,0,0
IGEIJ,0,0,0,0,1
